2022-02-09 22:44:17,426 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-02-09 22:45:08,423 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-09 22:45:08,424 | MainThread   | [INFO    ] | <module>            |: info
2022-02-09 22:45:08,428 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-09 22:45:08,431 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-09 22:45:08,434 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-09 22:45:23,741 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=2, releaselevel='final', serial=0)
2022-02-09 22:45:23,741 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.22000-SP0
2022-02-09 22:45:23,743 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:47:07,349 | MainThread   | [ERROR   ] | _connect            |: [WinError -2147024894] The system cannot find the file specified
2022-02-09 22:47:08,355 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-09 22:47:08,362 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:48:25,035 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=2, releaselevel='final', serial=0)
2022-02-09 22:48:25,039 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.22000-SP0
2022-02-09 22:48:25,039 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:50:11,070 | MainThread   | [ERROR   ] | _connect            |: [WinError -2147024894] The system cannot find the file specified
2022-02-09 22:50:12,095 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-09 22:50:12,096 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 22:50:58,744 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-02-09 22:51:12,151 | MainThread   | [DEBUG   ] | <module>            |: debug
2022-02-09 22:51:12,151 | MainThread   | [INFO    ] | <module>            |: info
2022-02-09 22:51:12,151 | MainThread   | [WARNING ] | <module>            |: warning
2022-02-09 22:51:12,160 | MainThread   | [ERROR   ] | <module>            |: error
2022-02-09 22:51:12,163 | MainThread   | [CRITICAL] | <module>            |: critical
2022-02-09 22:51:21,698 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=2, releaselevel='final', serial=0)
2022-02-09 22:51:21,698 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.22000-SP0
2022-02-09 22:51:21,702 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 23:14:09,493 | MainThread   | [ERROR   ] | _connect            |: [WinError -2147024894] The system cannot find the file specified
2022-02-09 23:14:10,502 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-09 23:14:10,511 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 23:14:20,564 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:48:8d:98:44 was not found.
2022-02-09 23:14:21,579 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-02-09 23:14:21,584 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:48:8d:98:44
2022-02-09 23:14:31,635 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:48:8d:98:44 was not found.
2022-02-09 23:14:32,641 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
